gsp_id,installedcapacity_mwp
1,176
2,20
3,96
4,4
5,9
6,3
7,186
8,273
9,15
10,25
11,0
12,1
13,152
14,2
15,4
16,1
17,16
18,5
19,6
20,26
21,8
22,6
23,54
24,120
25,13
26,145
27,21
28,50
29,2
30,117
31,4
32,57
33,8
34,31
35,1
36,32
37,23
38,347
39,5
40,23
41,264
42,1
43,1
44,4
45,198
46,5
47,283
48,37
49,13
50,1
51,3
52,5
53,198
54,17
55,27
56,15
57,0
58,1
59,0
60,83
61,5
62,1
63,1
64,43
65,23
66,243
67,4
68,0
69,4
70,3
71,7
72,120
73,5
74,56
75,312
76,4
77,3
78,78
79,3
80,3
81,13
82,1
83,2
84,2
85,14
86,0
87,0
88,119
89,6
90,1
91,2
92,0
93,1
94,0
95,6
96,4
97,3
98,2
99,5
100,9
101,283
102,6
103,152
104,6
105,4
106,1
107,1
108,6
109,26
110,24
111,108
112,3
113,161
114,0
115,0
116,102
117,257
118,23
119,41
120,14
121,4
122,31
123,0
124,2
125,5
126,84
127,2
128,5
129,3
130,2
131,2
132,3
133,0
134,1
135,297
136,28
137,3
138,1
139,0
140,13
141,1
142,48
143,123
144,18
145,2
146,19
147,2
148,26
149,0
150,11
151,0
152,393
153,2
154,6
155,193
156,66
157,13
158,20
159,3
160,4
161,13
162,135
163,49
164,68
165,14
166,18
167,3
168,1
169,2
170,2
171,5
172,2
173,0
174,19
175,15
176,19
177,63
178,19
179,0
180,11
181,164
182,111
183,3
184,6
185,7
186,26
187,8
188,1
189,4
190,4
191,244
192,15
193,1
194,6
195,3
196,2
197,415
198,2
199,531
200,5
201,8
202,356
203,1
204,5
205,4
206,13
207,5
208,1
209,14
210,91
211,9
212,139
213,5
214,327
215,86
216,123
217,4
218,6
219,7
220,33
221,24
222,1
223,1
224,3
225,12
226,199
227,210
228,8
229,17
230,42
231,69
232,3
233,2
234,5
235,5
236,3
237,1
238,42
239,0
240,21
241,0
242,87
243,90
244,5
245,110
246,4
247,12
248,3
249,19
250,22
251,24
252,12
253,0
254,13
255,1
256,58
257,110
258,89
259,1
260,0
261,1
262,0
263,1
264,81
265,3
266,5
267,42
268,0
269,15
270,1
271,36
272,5
273,30
274,184
275,14
276,23
277,5
278,14
279,2
280,164
281,268
282,9
283,83
284,2
285,1
286,0
287,60
288,3
289,23
290,30
291,10
292,28
293,2
294,12
295,66
296,84
297,286
298,124
299,21
300,16
301,30
302,91
303,3
304,0
305,24
306,2
307,2
308,5
309,93
310,20
311,1
312,33
313,3
314,2
315,31
316,37
317,58
